Average Accuracy,18.31%
FirstGroup,Oracle,ExpandedFirstGroup,Accuracy,ElapsedTime
"HP:0000692, HP:0007980, HP:0100292, HP:0000505, HP:0003690","HP:0006316, HP:0007722, HP:0010637, HP:0100292, HP:0100496","HP:0000153, HP:0001098, HP:0012639, HP:0031816, HP:0007894, HP:0000164, HP:0031605, HP:0000478, HP:0100292, HP:0007980, HP:0000504, HP:0001324, HP:0012372, HP:0003690, HP:0003011, HP:0004329, HP:0000118, HP:0011804, HP:0000759, HP:0012373, HP:0000692, HP:0000707, HP:0000152, HP:0033127, HP:0000234, HP:0000505, HP:0000271, HP:0000163",20.0%,87.33575677871704
"HP:0004411, HP:0001010, HP:0007033, HP:0002666, HP:0100585","HP:0004112, HP:0006748, HP:0007581, HP:0007822, HP:0011282, HP:0100869","HP:0012639, HP:0004411, HP:0001317, HP:0100585, HP:0100007, HP:0001009, HP:0011283, HP:0011282, HP:0000951, HP:0000366, HP:0001574, HP:0012443, HP:0007033, HP:0000118, HP:0005105, HP:0000759, HP:0002597, HP:0000234, HP:0000152, HP:0000271, HP:0000707, HP:0000419, HP:0100634, HP:0001010, HP:0002666, HP:0001626, HP:0011276, HP:0001000, HP:0011121, HP:0002011",16.67%,73.75668406486511
"HP:0000551, HP:0001363, HP:0005930, HP:0000926, HP:0012447","HP:0000551, HP:0004586, HP:0005494, HP:0007208, HP:0009209, HP:0009400, HP:0010135, HP:0100281","HP:0012639, HP:0012447, HP:0000925, HP:0000926, HP:0000929, HP:0005930, HP:0000478, HP:0003312, HP:0000551, HP:0001363, HP:0000504, HP:0000924, HP:0000118, HP:0009121, HP:0011314, HP:0012373, HP:0000234, HP:0000152, HP:0000707, HP:0003468, HP:0033127, HP:0011842, HP:0002683, HP:0011844",12.5%,82.02288436889648
"HP:0000982, HP:0001249, HP:0000486, HP:0001376, HP:0004947, HP:0100799, HP:0000982, HP:0000324","HP:0000486, HP:0000721, HP:0001249, HP:0002642, HP:0006715, HP:0007517, HP:0010030, HP:0011802","HP:0011729, HP:0000549, HP:0100026, HP:0000598, HP:0001376, HP:0000478, HP:0000972, HP:0007556, HP:0100799, HP:0000951, HP:0025015, HP:0001249, HP:0000118, HP:0012373, HP:0031703, HP:0004947, HP:0000707, HP:0011843, HP:0000370, HP:0012638, HP:0033127, HP:0000324, HP:0000496, HP:0001626, HP:0000271, HP:0000486, HP:0000962, HP:0000982, HP:0011446, HP:0011368, HP:0001574, HP:0033353, HP:0034430, HP:0001072, HP:0002597, HP:0001999, HP:0000152, HP:0000234, HP:0011121",25.0%,89.95432782173157
"HP:0001385, HP:0100754, HP:0030319, HP:0009487, HP:0025273, HP:0011706, HP:0007818","HP:0001384, HP:0004690, HP:0005335, HP:0006055, HP:0007302, HP:0007818, HP:0011708, HP:3000061","HP:0025766, HP:0011025, HP:0008034, HP:0200064, HP:0001100, HP:0009484, HP:0000301, HP:0001193, HP:0100754, HP:0001155, HP:0000478, HP:0100261, HP:0040064, HP:0011706, HP:0012372, HP:0000118, HP:0000553, HP:0025273, HP:0000707, HP:0012638, HP:0033127, HP:0001678, HP:0001626, HP:0011842, HP:0031546, HP:0000271, HP:0011844, HP:0030956, HP:0025230, HP:0005922, HP:0011446, HP:0001385, HP:0007818, HP:0003272, HP:0100851, HP:0011799, HP:0000924, HP:0002817, HP:0002644, HP:0030319, HP:0000152, HP:0000525, HP:0005150, HP:0000234, HP:0009487",12.5%,92.42562341690063
"HP:0034398, HP:0000698, HP:0003795, HP:0100697, HP:0000651","HP:0000544, HP:0006339, HP:0008094, HP:0009274, HP:0009424, HP:0010746, HP:0100007","HP:0000153, HP:0034398, HP:0000651, HP:0100697, HP:0011514, HP:0031816, HP:0011792, HP:0001991, HP:0000164, HP:0000478, HP:0000698, HP:0006482, HP:0040064, HP:0001780, HP:0002664, HP:0100242, HP:0000504, HP:0001831, HP:0001760, HP:0000118, HP:0030448, HP:0003795, HP:0012373, HP:0000152, HP:0000234, HP:0002814, HP:0000271, HP:0000163",0.0%,79.94657182693481
"HP:0034398, HP:0001763, HP:0034274, HP:0010289, HP:0100646, HP:0001970, HP:0025188, HP:0011096, HP:0025238, HP:0001288, HP:0033400, HP:0000225, HP:0012378, HP:0000505","HP:0001763, HP:0001919, HP:0002592, HP:0003130, HP:0009094, HP:0011513, HP:0100411, HP:0100646","HP:0012639, HP:0034398, HP:0025032, HP:0001969, HP:0011830, HP:0012378, HP:0000478, HP:0011772, HP:0040064, HP:0000479, HP:0025142, HP:0003130, HP:0000077, HP:0012372, HP:0001760, HP:0000118, HP:0000091, HP:0012373, HP:0000820, HP:0001970, HP:0000234, HP:0000707, HP:0011843, HP:0000202, HP:0012514, HP:0033127, HP:0012638, HP:0000818, HP:0033400, HP:0012575, HP:0002814, HP:0000271, HP:0000163, HP:0000153, HP:0025238, HP:0001098, HP:0000168, HP:0011458, HP:0031816, HP:0012718, HP:0001288, HP:0010935, HP:0001780, HP:0008046, HP:0000504, HP:0012210, HP:0009763, HP:0011096, HP:0004329, HP:0000119, HP:0010289, HP:0034274, HP:0000079, HP:0000759, HP:0001763, HP:0000225, HP:0000152, HP:0002027, HP:0100022, HP:0100646, HP:0000505, HP:0025188, HP:0025031, HP:0011024",37.5%,131.4559178352356
"HP:0004209, HP:0100659, HP:0001953, HP:0002808, HP:0012804, HP:0002703","HP:0000584, HP:0002942, HP:0003929, HP:0005979, HP:0007208, HP:0010345, HP:0012328, HP:0012518","HP:0012639, HP:0012804, HP:0000925, HP:0000481, HP:0000929, HP:0001155, HP:0000478, HP:0002808, HP:0040064, HP:0004097, HP:0012443, HP:0012372, HP:0000924, HP:0000118, HP:0009121, HP:0002703, HP:0004328, HP:0002817, HP:0004209, HP:0000819, HP:0009179, HP:0000707, HP:0011495, HP:0000234, HP:0000152, HP:0010674, HP:0001167, HP:0001953, HP:0033127, HP:0000818, HP:0011842, HP:0100659, HP:0002011",0.0%,84.42912817001343
"HP:0002813, HP:0004484, HP:0012368, HP:0001269","HP:0000288, HP:0001140, HP:0003411, HP:0007097, HP:0011218, HP:0011583","HP:0002813, HP:0011442, HP:0000929, HP:0004484, HP:0012368, HP:0000267, HP:0010549, HP:0004374, HP:0001269, HP:0002493, HP:0000924, HP:0000118, HP:0001999, HP:0000234, HP:0000152, HP:0000271, HP:0000707, HP:0012638, HP:0033127, HP:0011842, HP:0002683, HP:0011844",0.0%,64.81790900230408
"HP:0002683, HP:0007894, HP:0002190, HP:0001882, HP:0003306","HP:0000759, HP:0002190, HP:0004491, HP:0007894, HP:0008449, HP:0010603, HP:0012139, HP:0200066","HP:0012639, HP:0001882, HP:0001098, HP:0011893, HP:0000925, HP:0007376, HP:0000929, HP:0007894, HP:0031605, HP:0000478, HP:0012372, HP:0012443, HP:0004329, HP:0000118, HP:0002118, HP:0003306, HP:0002190, HP:0000924, HP:0009121, HP:0002683, HP:0000707, HP:0000152, HP:0001871, HP:0033127, HP:0011842, HP:0000234, HP:0001881, HP:0002011",25.0%,68.78392839431763
"HP:0040264, HP:0012378, HP:0001324, HP:0002615, HP:0000953, HP:0002656, HP:0010432, HP:0009834, HP:0003005, HP:0005343","HP:0002886, HP:0009940, HP:0010476, HP:0011748, HP:0100049, HP:0100263, HP:0100274, HP:0100437","HP:0005343, HP:0012639, HP:0100007, HP:0011025, HP:0012378, HP:0001155, HP:0002615, HP:0025142, HP:0040264, HP:0000951, HP:0040064, HP:0010936, HP:0003011, HP:0001760, HP:0000118, HP:0011804, HP:0030972, HP:0000953, HP:0010413, HP:0000707, HP:0012531, HP:0000014, HP:0001167, HP:0003005, HP:0009834, HP:0033127, HP:0001626, HP:0011842, HP:0001000, HP:0002814, HP:0002652, HP:0010432, HP:0025487, HP:0010173, HP:0010185, HP:0030450, HP:0006494, HP:0001324, HP:0001574, HP:0005918, HP:0000924, HP:0000119, HP:0000079, HP:0000759, HP:0002817, HP:0010476, HP:0002656, HP:0011121",12.5%,122.05107522010803
"HP:0000819, HP:0000855, HP:0003713, HP:0004054, HP:0000510","HP:0000580, HP:0000831, HP:0003713, HP:0003966, HP:0004630, HP:0009685, HP:0010236, HP:0012170","HP:0001939, HP:0001098, HP:0012337, HP:0011014, HP:0003330, HP:0011001, HP:0000478, HP:0000556, HP:0000479, HP:0004054, HP:0004303, HP:0012372, HP:0003011, HP:0000924, HP:0000118, HP:0011805, HP:0004329, HP:0000819, HP:0000510, HP:0003713, HP:0033127, HP:0000855, HP:0000818, HP:0011842, HP:0004348, HP:0011849",12.5%,74.14934229850769
"HP:0002500, HP:0000819, HP:0000554, HP:0000505, HP:0200026","HP:0000831, HP:0001474, HP:0007052, HP:0012121","HP:0012639, HP:0010993, HP:0200026, HP:0000478, HP:0000504, HP:0012372, HP:0012443, HP:0000554, HP:0002060, HP:0000118, HP:0000553, HP:0002500, HP:0012373, HP:0000819, HP:0000707, HP:0100547, HP:0000818, HP:0000505, HP:0002011",0.0%,63.604989528656006
"HP:0001987, HP:0004054, HP:0034398, HP:0000107, HP:0000588, HP:0008213, HP:0100710, HP:0008208","HP:0000588, HP:0008200, HP:0008281, HP:0009848, HP:0010083, HP:0012287, HP:0012782, HP:0100710","HP:0000708, HP:0034398, HP:0011747, HP:0011766, HP:0011001, HP:0008213, HP:0000478, HP:0040064, HP:0000107, HP:0000077, HP:0100710, HP:0001760, HP:0004364, HP:0012372, HP:0000118, HP:0012503, HP:0000864, HP:0000707, HP:0000828, HP:0012638, HP:0033127, HP:0040075, HP:0000818, HP:0011842, HP:0002814, HP:0004348, HP:0001987, HP:5200241, HP:0001939, HP:0032180, HP:0003330, HP:0011446, HP:0430071, HP:0000589, HP:0001780, HP:0010935, HP:0004054, HP:0012210, HP:0000830, HP:0000734, HP:0000924, HP:0000119, HP:0008208, HP:0000079, HP:0002157, HP:0000588, HP:0011849",25.0%,72.83555626869202
"HP:0009700, HP:0011268, HP:0000846, HP:0002684, HP:0000914, HP:0000956, HP:0002014","HP:0002630, HP:0004490, HP:0008259, HP:0009990, HP:0011268, HP:0011368, HP:0100625","HP:0002684, HP:0025032, HP:0000914, HP:0000956, HP:0000929, HP:0011268, HP:0000598, HP:0001155, HP:0000834, HP:0040064, HP:0000951, HP:0002014, HP:0000118, HP:0031703, HP:0033127, HP:0000765, HP:0000818, HP:0002683, HP:0011842, HP:0009913, HP:0011458, HP:0005922, HP:0011733, HP:0009700, HP:0011368, HP:0001574, HP:0004278, HP:0000924, HP:0009121, HP:0002817, HP:0001072, HP:0000356, HP:0000377, HP:0000152, HP:0100625, HP:0000846, HP:0001547, HP:0000234, HP:0011121, HP:0025031, HP:0009912",42.86%,53.14232850074768
"HP:0000639, HP:0001831, HP:0004437, HP:0410135, HP:0100646, HP:0002516, HP:0002353","HP:0002516, HP:0005477, HP:0010120, HP:0010325, HP:0011296, HP:0011971, HP:0012547, HP:0100646","HP:0000929, HP:0012547, HP:0001991, HP:0000478, HP:0011772, HP:0030178, HP:0001311, HP:0012640, HP:0040064, HP:0001780, HP:0410135, HP:0001831, HP:0001760, HP:0410134, HP:0002516, HP:0000118, HP:0000818, HP:0000639, HP:0012373, HP:0002683, HP:0002597, HP:0000234, HP:0000152, HP:0000820, HP:0001025, HP:0000707, HP:0012638, HP:0004437, HP:0000496, HP:0001626, HP:0011276, HP:0100646, HP:0002814, HP:0002353",37.5%,79.73008799552917
"HP:0000815, HP:0000639, HP:0010450, HP:0001083, HP:0003468, HP:0200134, HP:0000505, HP:0000823, HP:0000639, HP:0000347, HP:0000218, HP:0000486, HP:0002751","HP:0002043, HP:0002683, HP:0003492, HP:0005640, HP:0007704, HP:0012001, HP:0012629","HP:0001507, HP:0009118, HP:0000135, HP:0000549, HP:0000925, HP:0000929, HP:0012547, HP:0002650, HP:0200134, HP:0002751, HP:0000478, HP:0002031, HP:0012372, HP:0011821, HP:0000823, HP:0000118, HP:0000639, HP:0004328, HP:0012373, HP:0000174, HP:0000517, HP:0000707, HP:0000218, HP:0012638, HP:0033127, HP:0000496, HP:0011842, HP:0000271, HP:0000277, HP:0000153, HP:0000163, HP:0000486, HP:0000080, HP:0000078, HP:0000347, HP:0031816, HP:0010450, HP:0012718, HP:0001510, HP:0000815, HP:0001083, HP:0000504, HP:0001298, HP:0000924, HP:0009121, HP:0000119, HP:0030791, HP:0000152, HP:0010674, HP:0003468, HP:0000234, HP:0000505, HP:0025031, HP:0011024",0.0%,98.68904161453247
"HP:0001363, HP:0002007, HP:0008052, HP:0000820, HP:0002353, HP:0100512, HP:0001263, HP:0008872","HP:0000929, HP:0001493, HP:0002392, HP:0005466, HP:0012053, HP:0100030","HP:0001939, HP:0001098, HP:0025032, HP:0011968, HP:0032245, HP:0000929, HP:0100511, HP:0011458, HP:0000478, HP:0030178, HP:0001311, HP:0001363, HP:0000479, HP:0001263, HP:0002353, HP:0012372, HP:0008052, HP:0004329, HP:0100512, HP:0000118, HP:0008872, HP:0002007, HP:0100508, HP:0000820, HP:0000234, HP:0000152, HP:0000707, HP:0012638, HP:0000290, HP:0012759, HP:0000818, HP:0002683, HP:0000271, HP:0025031, HP:0012758",16.67%,65.17645931243896
"HP:0010664, HP:0011002, HP:0000826, HP:0003163, HP:0007359","HP:0003163, HP:0005275, HP:0005890, HP:0008236, HP:0010664, HP:0012016","HP:0012639, HP:0100000, HP:0001939, HP:0001250, HP:0010664, HP:0003110, HP:0003330, HP:0011002, HP:0011001, HP:0007359, HP:0012443, HP:0000924, HP:0000118, HP:0000818, HP:6000531, HP:0033354, HP:0010662, HP:0000707, HP:0008373, HP:0012638, HP:0033127, HP:0100547, HP:0003163, HP:0000826, HP:0011842, HP:0010663, HP:0004348, HP:0002011, HP:0011849",33.33%,65.48631453514099
"HP:0025672, HP:0006695, HP:0000147, HP:0001156, HP:0003764, HP:0009771, HP:0001156, HP:0005864","HP:0001062, HP:0001791, HP:0006170, HP:0008675, HP:0009193, HP:0010137, HP:0011555, HP:0100210","HP:0000147, HP:0002813, HP:0011355, HP:0012243, HP:0009771, HP:0000812, HP:0000008, HP:0001155, HP:0040064, HP:0003764, HP:0000951, HP:0006695, HP:0000137, HP:0000118, HP:0001671, HP:0011314, HP:0001167, HP:0033127, HP:0001626, HP:0011842, HP:0000138, HP:0031065, HP:0011844, HP:0005864, HP:0011032, HP:0001939, HP:0012337, HP:0000078, HP:0011297, HP:0025672, HP:0001574, HP:0001627, HP:0005918, HP:0000924, HP:0030680, HP:0000119, HP:0002817, HP:0001156, HP:0011927, HP:0011121, HP:0000969",0.0%,64.64668464660645
"HP:0002878, HP:0031527, HP:0002902, HP:0001875, HP:0002718, HP:0031527, HP:0002902","HP:0002871, HP:0005381, HP:0005541, HP:0010838, HP:0010931, HP:0011532, HP:0200073","HP:0001939, HP:0001098, HP:0032180, HP:0010974, HP:0002719, HP:0002795, HP:0010978, HP:0001875, HP:0000478, HP:0001874, HP:0000479, HP:0031527, HP:0012372, HP:0002718, HP:0002878, HP:0010929, HP:0004329, HP:0000118, HP:0010931, HP:0002715, HP:0002086, HP:0002902, HP:0002093, HP:0011991, HP:0032101, HP:0001871, HP:0010930, HP:0001911, HP:0003111, HP:0001881",14.29%,66.66475510597229
"HP:0025238, HP:0001288, HP:0003099, HP:0005313, HP:0000603, HP:0002656, HP:0005930","HP:0003085, HP:0005313, HP:0007663, HP:0100130, HP:0100131","HP:0003099, HP:0000478, HP:0040064, HP:0002981, HP:0025015, HP:0011004, HP:0000118, HP:0011314, HP:0012373, HP:0000575, HP:0001123, HP:0000707, HP:0011843, HP:0012514, HP:0012638, HP:0033127, HP:0001626, HP:0005313, HP:0002991, HP:0011842, HP:0002814, HP:0011844, HP:0025238, HP:0002652, HP:0005930, HP:0001288, HP:0000504, HP:0009763, HP:0033353, HP:0000924, HP:0002597, HP:0000603, HP:0100022, HP:0002656, HP:0000505",20.0%,86.11975574493408
"HP:0007110, HP:0001156, HP:0030084, HP:0000787, HP:0002721, HP:0002691, HP:0000961, HP:0001156, HP:0030157","HP:0000777, HP:0002691, HP:0005424, HP:0007110, HP:0010183, HP:0010385","HP:0002813, HP:0007110, HP:0002721, HP:0000929, HP:0002795, HP:0025142, HP:0000951, HP:0000077, HP:0002715, HP:0000118, HP:0002086, HP:0012531, HP:0033127, HP:0002793, HP:0011842, HP:0002683, HP:0002791, HP:0011844, HP:0030157, HP:0030084, HP:0002691, HP:0011297, HP:0010978, HP:0010935, HP:0001005, HP:0012210, HP:0001574, HP:0000787, HP:0000924, HP:0000119, HP:0000079, HP:0001156, HP:0000152, HP:0011354, HP:0000961, HP:0011927, HP:0000234, HP:0011121",33.33%,66.64383935928345
"HP:0010442, HP:0005830, HP:0100028","HP:0003680, HP:0004284, HP:0008188, HP:0009933, HP:0009971, HP:0100356, HP:0100574","HP:0002813, HP:0005830, HP:0011297, HP:0011772, HP:0008188, HP:0040064, HP:0001760, HP:0010442, HP:0000924, HP:0000118, HP:0008366, HP:0100028, HP:0000820, HP:0033127, HP:0000818, HP:0011842, HP:0002814, HP:0011844",14.29%,79.68408513069153
"HP:0001083, HP:0034398, HP:0001765, HP:0002750, HP:0003196","HP:0000818, HP:0005278, HP:0006016, HP:0006432, HP:0008494, HP:0010175, HP:0010319, HP:0011436","HP:0034398, HP:0000478, HP:0000927, HP:0001083, HP:0040064, HP:0001780, HP:0000366, HP:0012372, HP:0001760, HP:0000118, HP:0003196, HP:0004328, HP:0001765, HP:0002750, HP:0005105, HP:0000517, HP:0011843, HP:0000152, HP:0033127, HP:0000234, HP:0002814, HP:0000271",0.0%,59.01970720291138
"HP:0010052, HP:0004493, HP:0009910, HP:0012469, HP:0001250, HP:0001263, HP:0001953","HP:0001953, HP:0007285, HP:0010092, HP:0011454, HP:0012469","HP:0001250, HP:0010057, HP:0008609, HP:0004493, HP:0010052, HP:0000598, HP:0040064, HP:0001780, HP:0001263, HP:0004452, HP:0020219, HP:0012469, HP:0011097, HP:0001760, HP:0000118, HP:0009910, HP:0031703, HP:0000819, HP:0000707, HP:0000152, HP:0000370, HP:0012638, HP:0001953, HP:0012759, HP:0000818, HP:0012758, HP:0000234, HP:0002814, HP:0000271, HP:0001844",40.0%,60.5624361038208
"HP:0012040, HP:0008551, HP:0000298, HP:0025125, HP:0000202, HP:0030292, HP:0000819","HP:0000298, HP:0004112, HP:0006423, HP:0009800, HP:0011751, HP:0012040, HP:0100687, HP:3000019","HP:0011032, HP:0001939, HP:0012337, HP:0000153, HP:0002813, HP:0011844, HP:0000163, HP:0000944, HP:0031816, HP:0011830, HP:0000598, HP:0003025, HP:0025125, HP:0000924, HP:0000118, HP:0004673, HP:0008772, HP:0005346, HP:0000356, HP:0000819, HP:0008551, HP:0030292, HP:0031703, HP:0000234, HP:0000377, HP:0000152, HP:0030291, HP:0000202, HP:0033127, HP:0000818, HP:0011842, HP:0012040, HP:0000298, HP:0000271, HP:0000969",25.0%,69.99161648750305
"HP:0001328, HP:0001156, HP:0001156, HP:0004418, HP:0001363, HP:0000860, HP:0001894, HP:0007732","HP:0000860, HP:0001328, HP:0002625, HP:0002638, HP:0004186, HP:0005035, HP:0007732, HP:0010823","HP:0002813, HP:0011766, HP:0000929, HP:0000860, HP:0001872, HP:0011768, HP:0000614, HP:0030669, HP:0001894, HP:0000118, HP:0004418, HP:0000707, HP:0000828, HP:0000234, HP:0001871, HP:0012638, HP:0000315, HP:0033127, HP:0000818, HP:0011842, HP:0002683, HP:0011844, HP:0000271, HP:0007732, HP:0032039, HP:0008038, HP:0011482, HP:0011297, HP:0001977, HP:0001363, HP:0004936, HP:0000924, HP:0001156, HP:0001328, HP:0000152, HP:0011873, HP:0011927, HP:0012759, HP:0011875",37.5%,77.10002017021179
"HP:0000703, HP:0011182, HP:0002098, HP:0004361, HP:0000093, HP:0001156","HP:0003261, HP:0004361, HP:0010109, HP:0011086, HP:0011186, HP:0012595, HP:0012763","HP:0003117, HP:0002813, HP:0010299, HP:0003110, HP:0002795, HP:0000703, HP:0011182, HP:0030178, HP:0011061, HP:0004361, HP:0000118, HP:0025373, HP:0002086, HP:0000707, HP:0012638, HP:0033127, HP:0000818, HP:0002793, HP:0002094, HP:0011842, HP:0002353, HP:0000271, HP:0011844, HP:0000163, HP:0000153, HP:0001939, HP:0031816, HP:0020129, HP:0011297, HP:0000164, HP:0002098, HP:0001311, HP:0000924, HP:0001156, HP:0033354, HP:0000152, HP:0000093, HP:0011927, HP:0000234",14.29%,50.46128845214844
"HP:0001321, HP:0001251, HP:0000846, HP:0012378, HP:0001324, HP:0001650, HP:0000822, HP:0001511, HP:0002745, HP:0000859, HP:0430034, HP:0100031, HP:0041162, HP:0025238","HP:0000859, HP:0001473, HP:0002745, HP:0004381, HP:0006781, HP:0006893, HP:0011408, HP:0011734","HP:0012639, HP:0001507, HP:0011442, HP:0011025, HP:0031653, HP:0011830, HP:0012378, HP:0011282, HP:0031652, HP:0011772, HP:0000834, HP:0025142, HP:0100031, HP:0040064, HP:0012443, HP:0003011, HP:0001760, HP:0000118, HP:0011804, HP:0430034, HP:0030972, HP:0000820, HP:0000707, HP:0011843, HP:0012638, HP:0000822, HP:0001511, HP:0033127, HP:0012514, HP:0001251, HP:0000818, HP:0001626, HP:0002814, HP:0011283, HP:0002011, HP:0000271, HP:0000163, HP:0000153, HP:0025238, HP:0041162, HP:0001317, HP:0001832, HP:0011443, HP:0007360, HP:0031816, HP:0001510, HP:0011733, HP:0002745, HP:0032263, HP:0001324, HP:0000847, HP:0009763, HP:0025125, HP:0000152, HP:0000846, HP:0001321, HP:0001650, HP:0000859, HP:0000234, HP:0040085",25.0%,109.61922454833984
"HP:0001712, HP:0002890, HP:0002092, HP:0009804, HP:0000126, HP:0001857, HP:0003355","HP:0002092, HP:0002865, HP:0010899, HP:0010955, HP:0011045, HP:0100085, HP:0100510, HP:3000001","HP:0003110, HP:0001713, HP:0002795, HP:0001991, HP:0011772, HP:0010946, HP:0040064, HP:0100031, HP:0001712, HP:0005035, HP:0001711, HP:0004890, HP:0000077, HP:0001831, HP:0001760, HP:0001857, HP:0000118, HP:0030875, HP:0002086, HP:0000820, HP:0000126, HP:0000818, HP:0001626, HP:0002814, HP:0000271, HP:0025745, HP:0000163, HP:0000153, HP:0001939, HP:0002890, HP:0031816, HP:0000164, HP:0009804, HP:0010935, HP:0001780, HP:0006483, HP:0012210, HP:0001627, HP:0033578, HP:0010944, HP:0030680, HP:0000119, HP:0000079, HP:0033354, HP:0002092, HP:0000152, HP:0003355, HP:0000234",12.5%,66.32129144668579
"HP:0034398, HP:0001159, HP:0000505, HP:0002092, HP:0010579, HP:0001159, HP:0030666, HP:0034323, HP:0000089","HP:0000090, HP:0000824, HP:0004927, HP:0005323, HP:0007778, HP:0009972, HP:0100182","HP:0003117, HP:0002813, HP:0034398, HP:0010579, HP:0002795, HP:0000478, HP:0040064, HP:0000479, HP:0001159, HP:0012372, HP:0004890, HP:0001760, HP:0000077, HP:0000118, HP:0030875, HP:0011314, HP:0012373, HP:0002086, HP:0033127, HP:0000818, HP:0011842, HP:0002814, HP:0011844, HP:0001098, HP:0032367, HP:0008678, HP:0000089, HP:0011297, HP:0005930, HP:0010935, HP:0001780, HP:0008046, HP:0000504, HP:0012210, HP:0033578, HP:0000924, HP:0004329, HP:0000119, HP:0000079, HP:0002092, HP:0030666, HP:0000505, HP:0034323",0.0%,79.64536118507385
"HP:0000826, HP:0007406, HP:0005528, HP:0010452, HP:0034398, HP:0100502","HP:0001978, HP:0003145, HP:0003440, HP:0007406, HP:0008185, HP:0010354, HP:0010452","HP:0001743, HP:0100000, HP:0002012, HP:0001939, HP:0034398, HP:0032039, HP:0004341, HP:0032245, HP:0040126, HP:0005528, HP:0007406, HP:0040064, HP:0001780, HP:0030669, HP:0005561, HP:0004340, HP:0025408, HP:0001760, HP:0010452, HP:0000118, HP:0000826, HP:0100508, HP:0000152, HP:0100502, HP:0000492, HP:0012145, HP:0008373, HP:0000315, HP:0001871, HP:0000818, HP:0000234, HP:0002814, HP:0000271, HP:0025031",28.57%,74.32511115074158
"HP:0006482, HP:0034398, HP:0003394, HP:0003560, HP:0011950, HP:0011109, HP:0000853, HP:0000478","HP:0000284, HP:0003693, HP:0005873, HP:0007087, HP:0008249, HP:0011062, HP:0011946, HP:0100582","HP:0034398, HP:0002719, HP:0002795, HP:0000478, HP:0011772, HP:0006482, HP:0012252, HP:0040064, HP:0001760, HP:0003011, HP:0002715, HP:0000118, HP:0011804, HP:0002086, HP:0000820, HP:0033127, HP:0000818, HP:0002814, HP:0000271, HP:0000163, HP:0000153, HP:0000245, HP:0031816, HP:0000246, HP:0010978, HP:0000164, HP:0001780, HP:0002205, HP:0000853, HP:0011805, HP:0003394, HP:0011950, HP:0032101, HP:0000152, HP:0002087, HP:0011109, HP:0011948, HP:0003560, HP:0000234",0.0%,62.02785015106201
"HP:0001863, HP:0000695, HP:0010516, HP:0009803, HP:0001288, HP:0000689","HP:0004203, HP:0006288, HP:0010206, HP:0010516","HP:0002813, HP:0006288, HP:0001155, HP:0040064, HP:0009803, HP:0009767, HP:0001863, HP:0000118, HP:0000695, HP:0000692, HP:0000707, HP:0000689, HP:0001167, HP:0033127, HP:0012638, HP:0000818, HP:0011842, HP:0000777, HP:0000271, HP:0011844, HP:0000163, HP:0000153, HP:0030084, HP:0031816, HP:0011297, HP:0000164, HP:0001288, HP:0010516, HP:0005918, HP:0000924, HP:0006292, HP:0002817, HP:0000152, HP:0100022, HP:0000234",50.0%,43.51387858390808
"HP:0012234, HP:0005209, HP:0001822, HP:0100733, HP:0001103, HP:0001404, HP:0010801, HP:0001324, HP:0012378, HP:0000980, HP:0001433","HP:0000288, HP:0001404, HP:0001913, HP:0002897, HP:0005209, HP:0008002, HP:0010079","HP:0012440, HP:0001913, HP:0011766, HP:0011040, HP:0012378, HP:0005209, HP:0000478, HP:0001744, HP:0032309, HP:0040064, HP:0000479, HP:0100733, HP:0025142, HP:0000951, HP:0012372, HP:0001760, HP:0001822, HP:0003011, HP:0000118, HP:0011804, HP:0004297, HP:0000828, HP:0410042, HP:0010051, HP:0001871, HP:0003271, HP:0001438, HP:0001433, HP:0033127, HP:0000818, HP:0010801, HP:0002814, HP:0001881, HP:0000271, HP:0002012, HP:0001098, HP:0005289, HP:0001324, HP:0001780, HP:0000366, HP:0001574, HP:0004329, HP:0001404, HP:0001392, HP:0000980, HP:0000152, HP:0001080, HP:0012234, HP:0001911, HP:0010974, HP:0000234, HP:0001103, HP:0011121, HP:0025031, HP:0001844, HP:0002605",42.86%,103.85181331634521
"HP:0033522, HP:0001162, HP:0002893, HP:0000692, HP:0011933, HP:0003128","HP:0004900, HP:0006330, HP:0009985, HP:0010232, HP:0011750, HP:0011933, HP:0100623, HP:0100872","HP:0012639, HP:0033522, HP:0011747, HP:0001941, HP:0011750, HP:0001155, HP:0001162, HP:0040064, HP:0012443, HP:0000118, HP:0012503, HP:0009997, HP:0000692, HP:0000864, HP:0000707, HP:0001161, HP:0002893, HP:0007361, HP:0000818, HP:0001626, HP:0011932, HP:0000271, HP:0002011, HP:0000163, HP:0000153, HP:0001939, HP:0012337, HP:0031816, HP:0011933, HP:0001028, HP:0005922, HP:0100742, HP:0001048, HP:0000164, HP:0002817, HP:0004360, HP:0004275, HP:0003128, HP:0002597, HP:0000152, HP:0000234, HP:0002363",25.0%,90.31802892684937
"HP:0010627, HP:0000621, HP:0001156","HP:0000621, HP:0011757, HP:0012771, HP:0100091","HP:0002813, HP:0011844, HP:0000621, HP:0032039, HP:0011747, HP:0011297, HP:0010627, HP:0030669, HP:0000924, HP:0000118, HP:0001156, HP:0012503, HP:0000864, HP:0000152, HP:0000492, HP:0010625, HP:0000315, HP:0033127, HP:0011927, HP:0000818, HP:0011842, HP:0000234, HP:0000271",25.0%,37.126476764678955
